Ticker,Company,Ind
CNK,"Cinemark Holdings, Inc.",RUSSEL 2000
CNMD,CONMED Corp,RUSSEL 2000
CNNE,"Cannae Holdings, Inc.",RUSSEL 2000
CNO,"CNO Financial Group, Inc.",RUSSEL 2000
CNOB,"ConnectOne Bancorp, Inc.",RUSSEL 2000
CNS,"COHEN & STEERS, INC.",RUSSEL 2000
CNSL,"Consolidated Communications Holdings, Inc.",RUSSEL 2000
CNTY,CENTURY CASINOS INC /CO/,RUSSEL 2000
CNX,CNX Resources Corp,RUSSEL 2000
CNXN,PC CONNECTION INC,RUSSEL 2000
COCO,"Vita Coco Company, Inc.",RUSSEL 2000
CODI,Compass Diversified Holdings,RUSSEL 2000
COFS,CHOICEONE FINANCIAL SERVICES INC,RUSSEL 2000
COGT,"Cogent Biosciences, Inc.",RUSSEL 2000
COHU,COHU INC,RUSSEL 2000
COKE,"Coca-Cola Consolidated, Inc.",RUSSEL 2000
COLL,"COLLEGIUM PHARMACEUTICAL, INC",RUSSEL 2000
COMM,"CommScope Holding Company, Inc.",RUSSEL 2000
COMP,"Compass, Inc.",RUSSEL 2000
COOK,"Traeger, Inc.",RUSSEL 2000
COOP,Mr. Cooper Group Inc.,RUSSEL 2000
CORT,CORCEPT THERAPEUTICS INC,RUSSEL 2000
COUR,"Coursera, Inc.",RUSSEL 2000
CPE,Callon Petroleum Co,RUSSEL 2000
CPF,CENTRAL PACIFIC FINANCIAL CORP,RUSSEL 2000
CPK,CHESAPEAKE UTILITIES CORP,RUSSEL 2000
CPRX,"CATALYST PHARMACEUTICALS, INC.",RUSSEL 2000
CPS,Cooper-Standard Holdings Inc.,RUSSEL 2000
CPSI,Computer Programs & Systems Inc,RUSSEL 2000
CPSS,"CONSUMER PORTFOLIO SERVICES, INC.",RUSSEL 2000
CRAI,"CRA INTERNATIONAL, INC.",RUSSEL 2000
CRBU,"Caribou Biosciences, Inc.",RUSSEL 2000
CRC,California Resources Corp,RUSSEL 2000
CRCT,"Cricut, Inc.",RUSSEL 2000
CRDA,Croda International PLC,RUSSEL 2000
CRDO,Credo Technology Group Holding Ltd,RUSSEL 2000
CRGY,Crescent Energy Co,RUSSEL 2000
CRK,COMSTOCK RESOURCES INC,RUSSEL 2000
CRMD,CorMedix Inc.,RUSSEL 2000
CRMT,AMERICAS CARMART INC,RUSSEL 2000
CRNC,Cerence Inc.,RUSSEL 2000
CRNX,"Crinetics Pharmaceuticals, Inc.",RUSSEL 2000
CRS,CARPENTER TECHNOLOGY CORP,RUSSEL 2000
CRSR,"Corsair Gaming, Inc.",RUSSEL 2000
CRVL,CORVEL CORP,RUSSEL 2000
CSGS,CSG SYSTEMS INTERNATIONAL INC,RUSSEL 2000
CSR,CENTERSPACE,RUSSEL 2000
CSTL,CASTLE BIOSCIENCES INC,RUSSEL 2000
CSTM,CONSTELLIUM SE,RUSSEL 2000
CSTR,"CapStar Financial Holdings, Inc.",RUSSEL 2000
CSV,CARRIAGE SERVICES INC,RUSSEL 2000
CSWI,"CSW INDUSTRIALS, INC.",RUSSEL 2000
CTBI,COMMUNITY TRUST BANCORP INC /KY/,RUSSEL 2000
CTGO,"Contango ORE, Inc.",RUSSEL 2000
CTKB,"Cytek Biosciences, Inc.",RUSSEL 2000
CTLP,"CANTALOUPE, INC.",RUSSEL 2000
CTO,"CTO Realty Growth, Inc.",RUSSEL 2000
CTOS,"Custom Truck One Source, Inc.",RUSSEL 2000
CTRE,"CareTrust REIT, Inc.",RUSSEL 2000
CTS,CTS CORP,RUSSEL 2000
CTXR,"Citius Pharmaceuticals, Inc.",RUSSEL 2000
CUBI,"Customers Bancorp, Inc.",RUSSEL 2000
CUE,"Cue Biopharma, Inc.",RUSSEL 2000
CURV,Torrid Holdings Inc.,RUSSEL 2000
CUTR,CUTERA INC,RUSSEL 2000
CVBF,CVB FINANCIAL CORP,RUSSEL 2000
CVCO,CAVCO INDUSTRIES INC.,RUSSEL 2000
CVGI,"Commercial Vehicle Group, Inc.",RUSSEL 2000
CVGW,CALAVO GROWERS INC,RUSSEL 2000
CVI,CVR ENERGY INC,RUSSEL 2000
CVLG,"COVENANT LOGISTICS GROUP, INC.",RUSSEL 2000
CVLT,COMMVAULT SYSTEMS INC,RUSSEL 2000
CVLY,CODORUS VALLEY BANCORP INC,RUSSEL 2000
CVNA,CARVANA CO.,RUSSEL 2000
CVRX,"CVRx, Inc.",RUSSEL 2000
CWCO,Consolidated Water Co. Ltd.,RUSSEL 2000
CWH,"Camping World Holdings, Inc.",RUSSEL 2000
CWK,Cushman & Wakefield plc,RUSSEL 2000
CWST,CASELLA WASTE SYSTEMS INC,RUSSEL 2000
CWT,CALIFORNIA WATER SERVICE GROUP,RUSSEL 2000
CXM,"Sprinklr, Inc.",RUSSEL 2000
CXW,"CoreCivic, Inc.",RUSSEL 2000
CYH,COMMUNITY HEALTH SYSTEMS INC,RUSSEL 2000
CYRX,"Cryoport, Inc.",RUSSEL 2000
CYTK,CYTOKINETICS INC,RUSSEL 2000
CZFS,CITIZENS FINANCIAL SERVICES INC,RUSSEL 2000
CZNC,CITIZENS & NORTHERN CORP,RUSSEL 2000
DAKT,DAKTRONICS INC /SD/,RUSSEL 2000
DAN,DANA INC,RUSSEL 2000
DAWN,"Day One Biopharmaceuticals, Inc.",RUSSEL 2000
DBI,Designer Brands Inc.,RUSSEL 2000
DBRG,"DigitalBridge Group, Inc.",RUSSEL 2000
DC,Dakota Gold Corp.,RUSSEL 2000
DCGO,DocGo Inc.,RUSSEL 2000
DCO,DUCOMMUN INC /DE/,RUSSEL 2000
DCOM,"Dime Community Bancshares, Inc. /NY/",RUSSEL 2000
DCPH,"Deciphera Pharmaceuticals, Inc.",RUSSEL 2000
DDD,3D SYSTEMS CORP,RUSSEL 2000
DDS,"DILLARD'S, INC.",RUSSEL 2000
DEA,"Easterly Government Properties, Inc.",RUSSEL 2000
DEI,Douglas Emmett Inc,RUSSEL 2000
DENN,DENNY'S Corp,RUSSEL 2000
DFH,"Dream Finders Homes, Inc.",RUSSEL 2000
DFIN,"Donnelley Financial Solutions, Inc.",RUSSEL 2000
DFLI,Dragonfly Energy Holdings Corp.,RUSSEL 2000
DGICA,DONEGAL GROUP INC,RUSSEL 2000
DGII,DIGI INTERNATIONAL INC,RUSSEL 2000
DH,Definitive Healthcare Corp.,RUSSEL 2000
DHC,DIVERSIFIED HEALTHCARE TRUST,RUSSEL 2000
DHIL,DIAMOND HILL INVESTMENT GROUP INC,RUSSEL 2000
DHT,"DHT Holdings, Inc.",RUSSEL 2000
DHX,"DHI GROUP, INC.",RUSSEL 2000
DIN,"Dine Brands Global, Inc.",RUSSEL 2000
DIOD,DIODES INC /DEL/,RUSSEL 2000
DJCO,DAILY JOURNAL CORP,RUSSEL 2000
DK,"Delek US Holdings, Inc.",RUSSEL 2000
DLTH,DULUTH HOLDINGS INC.,RUSSEL 2000
DLX,DELUXE CORP,RUSSEL 2000
DM,"Desktop Metal, Inc.",RUSSEL 2000
DMRC,Digimarc CORP,RUSSEL 2000
DNLI,Denali Therapeutics Inc.,RUSSEL 2000
DNMR,"Danimer Scientific, Inc.",RUSSEL 2000
DNOW,DNOW Inc.,RUSSEL 2000
DNUT,"Krispy Kreme, Inc.",RUSSEL 2000
DO,"DIAMOND OFFSHORE DRILLING, INC.",RUSSEL 2000
DOC,"HEALTHPEAK PROPERTIES, INC.",RUSSEL 2000
DOCN,"DigitalOcean Holdings, Inc.",RUSSEL 2000
DOLE,Dole plc,RUSSEL 2000
DOMO,"DOMO, INC.",RUSSEL 2000
DOOR,MASONITE INTERNATIONAL CORP,RUSSEL 2000
DORM,"Dorman Products, Inc.",RUSSEL 2000
DOUG,Douglas Elliman Inc.,RUSSEL 2000
DRH,DiamondRock Hospitality Co,RUSSEL 2000
DRQ,Dril-Quip Inc,RUSSEL 2000
DRS,"Leonardo DRS, Inc.",RUSSEL 2000
DSGN,"Design Therapeutics, Inc.",RUSSEL 2000
DSGR,"Distribution Solutions Group, Inc.",RUSSEL 2000
DSKE,"Daseke, Inc.",RUSSEL 2000
DSP,Viant Technology Inc.,RUSSEL 2000
DTC,"Solo Brands, Inc.",RUSSEL 2000
DUOL,"Duolingo, Inc.",RUSSEL 2000
DVAX,DYNAVAX TECHNOLOGIES CORP,RUSSEL 2000
DX,DYNEX CAPITAL INC,RUSSEL 2000
DXLG,"DESTINATION XL GROUP, INC.",RUSSEL 2000
DXPE,DXP ENTERPRISES INC,RUSSEL 2000
DY,DYCOM INDUSTRIES INC,RUSSEL 2000
DYN,"Dyne Therapeutics, Inc.",RUSSEL 2000
DZSI,DZS INC.,RUSSEL 2000
EAF,GRAFTECH INTERNATIONAL LTD,RUSSEL 2000
EAT,"BRINKER INTERNATIONAL, INC",RUSSEL 2000
EB,"Eventbrite, Inc.",RUSSEL 2000
EBC,"Eastern Bankshares, Inc.",RUSSEL 2000
EBF,"ENNIS, INC.",RUSSEL 2000
EBS,Emergent BioSolutions Inc.,RUSSEL 2000
EBTC,ENTERPRISE BANCORP INC /MA/,RUSSEL 2000
ECPG,ENCORE CAPITAL GROUP INC,RUSSEL 2000
ECVT,Ecovyst Inc.,RUSSEL 2000
EDIT,"Editas Medicine, Inc.",RUSSEL 2000
EE,"Excelerate Energy, Inc.",RUSSEL 2000
EEX,"Emerald Holding, Inc.",RUSSEL 2000
EFC,Ellington Financial Inc.,RUSSEL 2000
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,RUSSEL 2000
EGAN,EGAIN Corp,RUSSEL 2000
EGBN,EAGLE BANCORP INC,RUSSEL 2000
EGHT,8X8 INC /DE/,RUSSEL 2000
EGLE,Eagle Bulk Shipping Inc.,RUSSEL 2000
EGRX,Eagle Pharmaceuticals Inc-DE,RUSSEL 2000
EGY,VAALCO ENERGY INC /DE/,RUSSEL 2000
EHAB,"Enhabit, Inc.",RUSSEL 2000
EHTH,"eHealth, Inc.",RUSSEL 2000
EIG,"Employers Holdings, Inc.",RUSSEL 2000
ELA,Envela Corp,RUSSEL 2000
ELF,"e.l.f. Beauty, Inc.",RUSSEL 2000
ELME,Elme Communities,RUSSEL 2000
ELVN,"Enliven Therapeutics, Inc.",RUSSEL 2000
EMBC,Embecta Corp.,RUSSEL 2000
ENFN,"Enfusion, Inc.",RUSSEL 2000
ENR,"ENERGIZER HOLDINGS, INC.",RUSSEL 2000
ENS,EnerSys,RUSSEL 2000
ENSG,"ENSIGN GROUP, INC",RUSSEL 2000
ENTA,ENANTA PHARMACEUTICALS INC,RUSSEL 2000
ENV,"ENVESTNET, INC.",RUSSEL 2000
ENVA,"Enova International, Inc.",RUSSEL 2000
ENVX,Enovix Corp,RUSSEL 2000
EOLS,"Evolus, Inc.",RUSSEL 2000
EOSE,"Eos Energy Enterprises, Inc.",RUSSEL 2000
EP,EMPIRE PETROLEUM CORP,RUSSEL 2000
EPAC,ENERPAC TOOL GROUP CORP,RUSSEL 2000
EPC,EDGEWELL PERSONAL CARE Co,RUSSEL 2000
EPM,EVOLUTION PETROLEUM CORP,RUSSEL 2000
EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",RUSSEL 2000
EQBK,EQUITY BANCSHARES INC,RUSSEL 2000
EQC,Equity Commonwealth,RUSSEL 2000
ERAS,"Erasca, Inc.",RUSSEL 2000
ERII,"Energy Recovery, Inc.",RUSSEL 2000
ESCA,ESCALADE INC,RUSSEL 2000
ESE,ESCO TECHNOLOGIES INC,RUSSEL 2000
ESGR,Enstar Group LTD,RUSSEL 2000
ESNT,Essent Group Ltd.,RUSSEL 2000
ESQ,"Esquire Financial Holdings, Inc.",RUSSEL 2000
ESRT,"Empire State Realty Trust, Inc.",RUSSEL 2000
ESSA,"ESSA Bancorp, Inc.",RUSSEL 2000
ETD,ETHAN ALLEN INTERIORS INC,RUSSEL 2000
ETNB,"89bio, Inc.",RUSSEL 2000
ETRN,Equitrans Midstream Corp,RUSSEL 2000
ETWO,"E2open Parent Holdings, Inc.",RUSSEL 2000
EU,enCore Energy Corp.,RUSSEL 2000
EVA,Enviva Inc.,RUSSEL 2000
EVBG,"EVERBRIDGE, INC.",RUSSEL 2000
EVBN,EVANS BANCORP INC,RUSSEL 2000
EVC,ENTRAVISION COMMUNICATIONS CORP,RUSSEL 2000
EVCM,EverCommerce Inc.,RUSSEL 2000
EVER,"EverQuote, Inc.",RUSSEL 2000
EVEX,"Eve Holding, Inc.",RUSSEL 2000
EVGO,EVgo Inc.,RUSSEL 2000
EVH,"Evolent Health, Inc.",RUSSEL 2000
EVI,"EVI INDUSTRIES, INC.",RUSSEL 2000
EVLV,"Evolv Technologies Holdings, Inc.",RUSSEL 2000
EVRI,Everi Holdings Inc.,RUSSEL 2000
EVTC,"EVERTEC, Inc.",RUSSEL 2000
EWCZ,"European Wax Center, Inc.",RUSSEL 2000
EWTX,"Edgewise Therapeutics, Inc.",RUSSEL 2000
EXFY,"Expensify, Inc.",RUSSEL 2000
EXLS,"ExlService Holdings, Inc.",RUSSEL 2000
EXPI,"EXP World Holdings, Inc.",RUSSEL 2000
EXPO,EXPONENT INC,RUSSEL 2000
EXTR,EXTREME NETWORKS INC,RUSSEL 2000
EYE,"National Vision Holdings, Inc.",RUSSEL 2000
EYEN,"EYENOVIA, INC.",RUSSEL 2000
EYPT,"EyePoint Pharmaceuticals, Inc.",RUSSEL 2000
FA,FIRST ADVANTAGE CORP,RUSSEL 2000
FARO,FARO TECHNOLOGIES INC,RUSSEL 2000
FATE,FATE THERAPEUTICS INC,RUSSEL 2000
FBIZ,First Business Financial Services Inc,RUSSEL 2000
FBK,FB Financial Corp,RUSSEL 2000
FBMS,FIRST BANCSHARES INC /MS/,RUSSEL 2000
FBNC,FIRST BANCORP /NC/,RUSSEL 2000
FBP,FIRST BANCORP /PR/,RUSSEL 2000
FBRT,"Franklin BSP Realty Trust, Inc.",RUSSEL 2000
FC,FRANKLIN COVEY CO,RUSSEL 2000
FCBC,FIRST COMMUNITY BANKSHARES INC /VA/,RUSSEL 2000
FCCO,FIRST COMMUNITY CORP /SC/,RUSSEL 2000
FCEL,FUELCELL ENERGY INC,RUSSEL 2000
FCF,FIRST COMMONWEALTH FINANCIAL CORP /PA/,RUSSEL 2000
FCFS,"FirstCash Holdings, Inc.",RUSSEL 2000
FCPT,"Four Corners Property Trust, Inc.",RUSSEL 2000
FDBC,FIDELITY D & D BANCORP INC,RUSSEL 2000
FDMT,"4D Molecular Therapeutics, Inc.",RUSSEL 2000
FDP,FRESH DEL MONTE PRODUCE INC,RUSSEL 2000
FEAM,"5E Advanced Materials, Inc.",RUSSEL 2000
FELE,FRANKLIN ELECTRIC CO INC,RUSSEL 2000
FENC,FENNEC PHARMACEUTICALS INC.,RUSSEL 2000
FET,"FORUM ENERGY TECHNOLOGIES, INC.",RUSSEL 2000
FF,FutureFuel Corp.,RUSSEL 2000
FFBC,FIRST FINANCIAL BANCORP /OH/,RUSSEL 2000
FFIC,FLUSHING FINANCIAL CORP,RUSSEL 2000
FFIN,FIRST FINANCIAL BANKSHARES INC,RUSSEL 2000
FFWM,First Foundation Inc.,RUSSEL 2000
FG,"F&G Annuities & Life, Inc.",RUSSEL 2000
FGEN,FIBROGEN INC,RUSSEL 2000
FHTX,Foghorn Therapeutics Inc.,RUSSEL 2000
FIBK,FIRST INTERSTATE BANCSYSTEM INC,RUSSEL 2000
FIGS,"FIGS, Inc.",RUSSEL 2000
FIHL,Fidelis Insurance Holdings Ltd,RUSSEL 2000
FIP,FTAI Infrastructure Inc.,RUSSEL 2000
FISI,FINANCIAL INSTITUTIONS INC,RUSSEL 2000
FIX,COMFORT SYSTEMS USA INC,RUSSEL 2000
FIZZ,NATIONAL BEVERAGE CORP,RUSSEL 2000
FL,"FOOT LOCKER, INC.",RUSSEL 2000
FLGT,"Fulgent Genetics, Inc.",RUSSEL 2000
FLIC,FIRST OF LONG ISLAND CORP,RUSSEL 2000
FLL,FULL HOUSE RESORTS INC,RUSSEL 2000
FLNC,"Fluence Energy, Inc.",RUSSEL 2000
FLNG,Flex LNG Ltd.,RUSSEL 2000
FLR,FLUOR CORP,RUSSEL 2000
FLWS,1 800 FLOWERS COM INC,RUSSEL 2000
FLYW,Flywire Corp,RUSSEL 2000
FMAO,FARMERS & MERCHANTS BANCORP INC,RUSSEL 2000
FMBH,"FIRST MID BANCSHARES, INC.",RUSSEL 2000
FMNB,FARMERS NATIONAL BANC CORP /OH/,RUSSEL 2000
FN,Fabrinet,RUSSEL 2000
FNA,"Paragon 28, Inc.",RUSSEL 2000
FNKO,"Funko, Inc.",RUSSEL 2000
FNLC,"First Bancorp, Inc /ME/",RUSSEL 2000
FOA,Finance of America Companies Inc.,RUSSEL 2000
FOLD,"AMICUS THERAPEUTICS, INC.",RUSSEL 2000
FOR,Forestar Group Inc.,RUSSEL 2000
FORM,FORMFACTOR INC,RUSSEL 2000
FORR,"FORRESTER RESEARCH, INC.",RUSSEL 2000
FOSL,"Fossil Group, Inc.",RUSSEL 2000
FOXF,FOX FACTORY HOLDING CORP,RUSSEL 2000
FPI,Farmland Partners Inc.,RUSSEL 2000
FRBA,First Bank-Hamilton NJ,RUSSEL 2000
FRGE,"Forge Global Holdings, Inc.",RUSSEL 2000
FRME,FIRST MERCHANTS CORP,RUSSEL 2000
FRPH,"FRP HOLDINGS, INC.",RUSSEL 2000
FRSH,Freshworks Inc.,RUSSEL 2000
FRST,Primis Financial Corp.,RUSSEL 2000
FSBC,FIVE STAR BANCORP,RUSSEL 2000
FSBW,"FS Bancorp, Inc.",RUSSEL 2000
FSLY,"Fastly, Inc.",RUSSEL 2000
FSS,FEDERAL SIGNAL CORP /DE/,RUSSEL 2000
FTAI,FTAI Aviation Ltd.,RUSSEL 2000
FTCI,"FTC Solar, Inc.",RUSSEL 2000
FTDR,"Frontdoor, Inc.",RUSSEL 2000
FUBO,fuboTV Inc. /FL,RUSSEL 2000
FUL,FULLER H B CO,RUSSEL 2000
FULT,FULTON FINANCIAL CORP,RUSSEL 2000
FVCB,"FVCBankcorp, Inc.",RUSSEL 2000
FWRD,FORWARD AIR CORP,RUSSEL 2000
FWRG,"First Watch Restaurant Group, Inc.",RUSSEL 2000
GABC,"GERMAN AMERICAN BANCORP, INC.",RUSSEL 2000
GAMB,Gambling.com Group Ltd,RUSSEL 2000
GATX,GATX CORP,RUSSEL 2000
GBCI,"GLACIER BANCORP, INC.",RUSSEL 2000
GBIO,Generation Bio Co.,RUSSEL 2000
GBTG,"Global Business Travel Group, Inc.",RUSSEL 2000
GBX,GREENBRIER COMPANIES INC,RUSSEL 2000
GCBC,GREENE COUNTY BANCORP INC,RUSSEL 2000
GCI,"Gannett Co., Inc.",RUSSEL 2000
GCMG,GCM Grosvenor Inc.,RUSSEL 2000
GCO,GENESCO INC,RUSSEL 2000
GDEN,"GOLDEN ENTERTAINMENT, INC.",RUSSEL 2000
GDOT,GREEN DOT CORP,RUSSEL 2000
GDYN,"GRID DYNAMICS HOLDINGS, INC.",RUSSEL 2000
GEF,"GREIF, INC",RUSSEL 2000
GEFB,"GREIF, INC",RUSSEL 2000
GENC,GENCOR INDUSTRIES INC,RUSSEL 2000
GEO,GEO GROUP INC,RUSSEL 2000
GERN,GERON CORP,RUSSEL 2000
GES,GUESS INC,RUSSEL 2000
GEVO,"Gevo, Inc.",RUSSEL 2000
GFF,GRIFFON CORP,RUSSEL 2000
GH,"Guardant Health, Inc.",RUSSEL 2000
GHC,Graham Holdings Co,RUSSEL 2000
GIC,GLOBAL INDUSTRIAL Co,RUSSEL 2000
GIII,G III APPAREL GROUP LTD /DE/,RUSSEL 2000
GKOS,GLAUKOS Corp,RUSSEL 2000
GLDD,Great Lakes Dredge & Dock CORP,RUSSEL 2000
GLNG,GOLAR LNG LTD,RUSSEL 2000
GLRE,"GREENLIGHT CAPITAL RE, LTD.",RUSSEL 2000
GLT,PH Glatfelter Co,RUSSEL 2000
GLUE,"Monte Rosa Therapeutics, Inc.",RUSSEL 2000
GMRE,Global Medical REIT Inc.,RUSSEL 2000
GMS,GMS Inc.,RUSSEL 2000
GNE,Genie Energy Ltd.,RUSSEL 2000
GNK,GENCO SHIPPING & TRADING LTD,RUSSEL 2000
GNL,"Global Net Lease, Inc.",RUSSEL 2000
GNLX,GENELUX Corp,RUSSEL 2000
GNTY,GUARANTY BANCSHARES INC /TX/,RUSSEL 2000
GNW,GENWORTH FINANCIAL INC,RUSSEL 2000
GOCO,"GoHealth, Inc.",RUSSEL 2000
GOGL,Golden Ocean Group Ltd,RUSSEL 2000
GOGO,Gogo Inc.,RUSSEL 2000
GOLF,Acushnet Holdings Corp.,RUSSEL 2000
GOOD,GLADSTONE COMMERCIAL CORP,RUSSEL 2000
GORV,"Lazydays Holdings, Inc.",RUSSEL 2000
GPI,GROUP 1 AUTOMOTIVE INC,RUSSEL 2000
GPMT,Granite Point Mortgage Trust Inc.,RUSSEL 2000
GPOR,GULFPORT ENERGY CORP,RUSSEL 2000
GPRE,Green Plains Inc.,RUSSEL 2000
GPRO,"GoPro, Inc.",RUSSEL 2000
GRBK,"Green Brick Partners, Inc.",RUSSEL 2000
GRC,GORMAN RUPP CO,RUSSEL 2000
GRND,Grindr Inc.,RUSSEL 2000
GRNT,"Granite Ridge Resources, Inc.",RUSSEL 2000
GRPH,"Graphite Bio, Inc.",RUSSEL 2000
GRTS,"Gritstone bio, Inc.",RUSSEL 2000
GRWG,GrowGeneration Corp.,RUSSEL 2000
GSAT,"Globalstar, Inc.",RUSSEL 2000
GSBC,"GREAT SOUTHERN BANCORP, INC.",RUSSEL 2000
GSHD,"Goosehead Insurance, Inc.",RUSSEL 2000
GT,GOODYEAR TIRE & RUBBER CO /OH/,RUSSEL 2000
GTLS,CHART INDUSTRIES INC,RUSSEL 2000
GTN,GRAY TELEVISION INC,RUSSEL 2000
GTY,GETTY REALTY CORP /MD/,RUSSEL 2000
GVA,GRANITE CONSTRUCTION INC,RUSSEL 2000
GWH,"ESS Tech, Inc.",RUSSEL 2000
GWRS,"Global Water Resources, Inc.",RUSSEL 2000
HA,HAWAIIAN HOLDINGS INC,RUSSEL 2000
HAE,HAEMONETICS CORP,RUSSEL 2000
HAFC,HANMI FINANCIAL CORP,RUSSEL 2000
HAIN,HAIN CELESTIAL GROUP INC,RUSSEL 2000
HALO,"HALOZYME THERAPEUTICS, INC.",RUSSEL 2000
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",RUSSEL 2000
HAYN,HAYNES INTERNATIONAL INC,RUSSEL 2000
HBCP,"HOME BANCORP, INC.",RUSSEL 2000
HBI,Hanesbrands Inc.,RUSSEL 2000
HBIO,HARVARD BIOSCIENCE INC,RUSSEL 2000
HBNC,HORIZON BANCORP INC /IN/,RUSSEL 2000
HBT,"HBT Financial, Inc.",RUSSEL 2000
HCAT,"Health Catalyst, Inc.",RUSSEL 2000
HCC,"WARRIOR MET COAL, INC.",RUSSEL 2000
HCI,"HCI Group, Inc.",RUSSEL 2000
HCKT,"HACKETT GROUP, INC.",RUSSEL 2000
HCSG,HEALTHCARE SERVICES GROUP INC,RUSSEL 2000
HDSN,HUDSON TECHNOLOGIES INC /NY,RUSSEL 2000
HEAR,Turtle Beach Corp,RUSSEL 2000
HEES,"H&E Equipment Services, Inc.",RUSSEL 2000
HELE,HELEN OF TROY LTD,RUSSEL 2000
HFFG,HF Foods Group Inc.,RUSSEL 2000
HFWA,HERITAGE FINANCIAL CORP /WA/,RUSSEL 2000
HGV,Hilton Grand Vacations Inc.,RUSSEL 2000
HI,"Hillenbrand, Inc.",RUSSEL 2000
HIBB,HIBBETT INC,RUSSEL 2000
HIFS,Hingham Institution for Savings,RUSSEL 2000
HIMS,"Hims & Hers Health, Inc.",RUSSEL 2000
