Company,Prime Standard Sector,Ticker,Index weighting (%)1,Founded,MarketCap
SAP,Technology,SAP.DE,10.1,1972,255521816576
Siemens,Industrials,SIE.DE,9.0,1847,140556140544
Deutsche Telekom,Telecommunication,DTE.DE,6.5,1995,139550720000
Allianz,Financial Services,ALV.DE,7.1,1890,115441262592
Airbus,Aerospace & Defence,AIR.DE,6.0,1970,111412715520
Merck,Pharmaceuticals,MRK.DE,1.8,1668,67607977984
Munich Re,Financial Services,MUV2.DE,3.6,1880,63469121536
Porsche,Automotive,P911.DE,1.1,1931,63004762112
Mercedes-Benz Group,Automotive,MBG.DE,4.8,1926,62435864576
Siemens Healthineers,Medical Equipment,SHL.DE,1.2,2020,57449754624
BMW,Automotive,BMW.DE,2.5,1916,48594935808
Volkswagen Group,Automotive,VOW3.DE,2.4,1937,48104361984
Deutsche Post,Logistics,DHL.DE,3.4,1995,44203261952
BASF,Chemicals,BAS.DE,3.5,1865,41087250432
Infineon Technologies,Technology,IFX.DE,3.9,1999,39736909824
Deutsche B̦rse,Financial Services,DB1.DE,2.7,1992,39607480320
Adidas,Apparel,ADS.DE,2.0,1924,38566584320
E.ON,Utilities,EOAN.DE,1.9,2000,33703471104
Henkel,Consumer Goods,HEN3.DE,0.9,1876,32309231616
Deutsche Bank,Financial Services,DBK.DE,1.6,1870,30690293760
Daimler Truck,Automotive,DTG.DE,1.1,2021,29954099200
Hannover Re,Insurance,HNR1.DE,0.8,1966,29835696128
Beiersdorf,Consumer goods,BEI.DE,0.9,1882,29400150016
Siemens Energy,Energy technology,ENR.DE,0.7,2020,29234698240
Vonovia,Real Estate,VNA.DE,1.1,2001,25722384384
Bayer,Pharmaceuticals,BAYN.DE,4.8,1863,25277769728
RWE,Utilities,RWE.DE,2.2,1898,22887989248
Rheinmetall,Aerospace & Defence,RHM.DE,,1889,21856368640
Commerzbank,Financial Services,CBK.DE,0.8,1870,19298275328
Fresenius,Healthcare,FRE.DE,0.8,1912,19014879232
Heidelberg Materials,Construction Materials,HEI.DE,0.7,1874,17547970560
MTU Aero Engines,Aerospace & Defence,MTX.DE,1.0,1934,16808783872
Symrise,Chemicals,SY1.DE,1.1,2003,15668441088
Sartorius,Medical Technology,SRT3.DE,0.8,1870,15449116672
Porsche SE,Automotive,PAH3.DE,0.6,2007,12274499584
Continental,Automotive,CON.DE,0.6,1871,11892356096
Covestro,Chemicals,1COV.DE,0.6,2015,11003541504
Brenntag,Distribution,BNR.DE,0.9,1874,8879677440
Qiagen,Biotech,QIA.DE,0.8,1984,8654181376
Zalando,E-Commerce,ZAL.DE,0.7,2008,7458000384
